time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-21T10:30:19.550Z,7.226,-73.88,101.24,4.7,mb,,37,2.405,1.09,us,us20008thx,2017-03-21T23:25:15.188Z,"13km S of Puerto Wilches, Colombia",earthquake,7.6,6.6,0.035,248,reviewed,us,us
2017-03-21T10:07:11.554Z,62.6652,-151.1729,80.6,2.6,ml,,,,0.51,ak,ak15569727,2017-03-21T10:22:26.261Z,"66km NW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-03-21T09:36:30.200Z,18.7338,-64.5558,54,3.3,Md,6,334.8,0.80848376,0.28,pr,pr17080003,2017-03-21T11:46:52.321Z,"35km N of Road Town, British Virgin Islands",earthquake,5.8,7.1,0,5,reviewed,pr,pr
2017-03-21T08:52:51.600Z,36.8785,-121.3388333,6.66,3.02,ml,71,76,0.04192,0.1,nc,nc72778946,2017-03-22T04:53:01.783Z,"6km ENE of Hollister, California",earthquake,0.14,0.28,0.143,32,reviewed,nc,nc
2017-03-21T08:44:13.160Z,13.9014,-90.2747,106.84,4.6,mb,,166,1.035,1.03,us,us20008thd,2017-03-21T09:31:31.040Z,"11km SW of Pasaco, Guatemala",earthquake,7.9,9.2,0.095,33,reviewed,us,us
2017-03-21T08:31:22.160Z,6.2811,-77.5428,14.69,5,mb,,50,3.509,1.13,us,us20008thb,2017-03-22T12:30:31.869Z,"16km WNW of Mutis, Colombia",earthquake,6.9,4,0.044,164,reviewed,us,us
2017-03-21T05:56:37.790Z,33.5954,72.7093,41.54,4.4,mb,,188,0.469,0.93,us,us20008tgy,2017-03-24T10:57:14.785Z,"31km SE of Sanjwal, Pakistan",earthquake,8.5,9.5,0.117,21,reviewed,us,us
2017-03-21T04:36:07.400Z,18.5813,-66.8257,85,2.5,Md,8,219.6,0.24344344,0.18,pr,pr17080002,2017-03-21T07:54:27.428Z,"10km N of Hatillo, Puerto Rico",earthquake,1.5,0.9,0,4,reviewed,pr,pr
2017-03-21T04:29:11.690Z,-3.6911,-80.8815,27.84,4.8,mb,,116,1.144,0.8,us,us20008tgi,2017-03-21T20:36:03.393Z,"22km W of Zorritos, Peru",earthquake,7.8,5.3,0.041,180,reviewed,us,us
2017-03-21T03:42:03.600Z,19.1868,-65.3977,34,3.1,Md,4,324,0.88034898,0.37,pr,pr17080001,2017-03-21T07:53:52.251Z,"96km NNE of Luquillo, Puerto Rico",earthquake,4.5,25.5,0,4,reviewed,pr,pr
